ticket,opening_time_utc,closing_time_utc,type,lots,original_position_size,symbol,opening_price,closing_price,stop_loss,take_profit,commission,swap,profit,equity,margin_level,close_reason
2941191203,2026-07-09T09:12:10,2026-07-09T09:12:20,sell,0.01,0.01,XAUUSDm,4108.5,4109.308,,,,,-0.81,-6.24,,so
2941191201,2026-07-09T09:12:10,2026-07-09T09:12:20,sell,0.01,0.01,XAUUSDm,4108.5,4109.308,,,,,-0.81,-6.24,,so
2941191194,2026-07-09T09:12:10,2026-07-09T09:12:20,sell,0.01,0.01,XAUUSDm,4108.5,4109.308,,,,,-0.81,-6.24,,so
2941191193,2026-07-09T09:12:10,2026-07-09T09:12:20,sell,0.01,0.01,XAUUSDm,4108.5,4109.308,,,,,-0.81,-6.24,,so
2941191191,2026-07-09T09:12:10,2026-07-09T09:12:20,sell,0.01,0.01,XAUUSDm,4108.5,4109.308,,,,,-0.81,-6.24,,so
2941191192,2026-07-09T09:12:10,2026-07-09T09:12:20,sell,0.01,0.01,XAUUSDm,4108.5,4109.308,,,,,-0.81,-6.24,,so
2941191190,2026-07-09T09:12:10,2026-07-09T09:12:20,sell,0.01,0.01,XAUUSDm,4108.5,4109.308,,,,,-0.81,-6.24,,so
2941191076,2026-07-09T09:12:08,2026-07-09T09:12:20,sell,0.01,0.01,XAUUSDm,4108.495,4109.308,,,,,-0.81,-6.24,,so
2941191073,2026-07-09T09:12:08,2026-07-09T09:12:20,sell,0.01,0.01,XAUUSDm,4108.495,4109.308,,,,,-0.81,-6.24,,so
2941191055,2026-07-09T09:12:08,2026-07-09T09:12:20,sell,0.01,0.01,XAUUSDm,4108.495,4109.308,,,,,-0.81,-6.24,,so
2941190938,2026-07-09T09:12:08,2026-07-09T09:12:20,sell,0.01,0.01,XAUUSDm,4108.495,4109.308,,,,,-0.81,-6.24,,so
2941191292,2026-07-09T09:12:12,2026-07-09T09:12:20,sell,0.01,0.01,XAUUSDm,4108.486,4109.308,,,,,-0.82,-6.24,,so
2941191285,2026-07-09T09:12:12,2026-07-09T09:12:20,sell,0.01,0.01,XAUUSDm,4108.486,4109.308,,,,,-0.82,-6.24,,so
2941191284,2026-07-09T09:12:12,2026-07-09T09:12:20,sell,0.01,0.01,XAUUSDm,4108.486,4109.308,,,,,-0.82,-6.24,,so
2941191283,2026-07-09T09:12:12,2026-07-09T09:12:20,sell,0.01,0.01,XAUUSDm,4108.486,4109.308,,,,,-0.82,-6.24,,so
2941191282,2026-07-09T09:12:12,2026-07-09T09:12:20,sell,0.01,0.01,XAUUSDm,4108.486,4109.308,,,,,-0.82,-6.24,,so
2941191230,2026-07-09T09:12:11,2026-07-09T09:12:20,sell,0.01,0.01,XAUUSDm,4108.481,4109.308,,,,,-0.83,-6.24,,so
2941191229,2026-07-09T09:12:11,2026-07-09T09:12:20,sell,0.01,0.01,XAUUSDm,4108.481,4109.308,,,,,-0.83,-6.24,,so
2941191228,2026-07-09T09:12:11,2026-07-09T09:12:20,sell,0.01,0.01,XAUUSDm,4108.481,4109.308,,,,,-0.83,-6.24,,so
2941190917,2026-07-09T09:12:07,2026-07-09T09:12:20,sell,0.01,0.01,XAUUSDm,4108.476,4109.308,,,,,-0.83,-6.24,,so
2941190912,2026-07-09T09:12:07,2026-07-09T09:12:20,sell,0.01,0.01,XAUUSDm,4108.476,4109.308,,,,,-0.83,-6.24,,so
